Character,Rank,SmashTag
Falco,2.0,bobby big ballz
Falco,6.0,Ginger
Falco,10.0,Fiction
Falco,17.0,cliché
Falco,21.0,Bones
Falco,24.0,NOOT
Falco,32.0,yingling
Falco,32.0,GLR | JAM
Falco,35.0,Neologism
Falco,37.0,TBD
Falco,37.0,Westballz
Falco,39.0,Ghost Rider
Falco,58.0,Pappi
Falco,70.0,Elk G | Ivayne
Falco,71.0,Light
Falco,75.0,Arctic
Falco,82.0,Pawn
Falco,87.0,ericiscool.net
Falco,88.0,KaiKwonDo
Falco,98.0,John
Falco,98.0,ROFL
Falco,103.0,CLEM#112 | Clem
Falco,103.0,Help
Falco,103.0,Jakespeare
Falco,110.0,BLM | Rats!
Falco,123.0,hHerb
Falco,123.0,JustJoshin
Falco,128.0,Shy
Falco,137.0,Kaptinkillem
Falco,137.0,TheFormuoli
Falco,137.0,CB
Falco,144.0,WOMB#619 | Wombat
Falco,156.0,TC | BuyMyMixTape
Falco,156.0,YoungHanSolo
Falco,156.0,Slump
Falco,156.0,SDJ | SudoJoe
Falco,156.0,bird | unlucky
Falco,168.0,Melos
Falco,168.0,dirtyDev
Falco,179.0,HorseGirl420
Falco,179.0,Rigo Bigo
Falco,179.0,UARK | VentusWK
Falco,196.0,Nico
Falco,196.0,rickey_kc
Falco,210.0,Frozone
Falco,210.0,ZUTH | Zuthane
Falco,217.0,bensw
Falco,217.0,early
Falco,217.0,DCG | Spots
Falco,217.0,Luppi
Falco,217.0,Fishpaste
Falco,234.0,CarltonDanks
Falco,234.0,Abhi
Falco,234.0,PP | Droze
Falco,234.0,Blu-J
Falco,234.0,Snickerdoodle
Falco,234.0,LVD | Super
Marth,4.0,KoDoRiN
Marth,5.0,LSD
Marth,31.0,Dom
Marth,48.0,Bonn Esports | Question
Marth,60.0,soccermom69
Marth,63.0,Maher
Marth,73.0,HWY | ybot
Marth,75.0,Phantom Airline
Marth,84.0,Thad <3
Marth,84.0,CG | Firebolt
Marth,84.0,Alex18+
Marth,123.0,pointykitty
Marth,128.0,Den
Marth,128.0,CSR | Tezlik
Marth,144.0,Big Pivot
Marth,144.0,OXY | TheCrimsonBlur
Marth,151.0,kippu
Marth,151.0,Tourist
Marth,156.0,Uncle Pete
Marth,156.0,moscow mich
Marth,168.0,Yamasaki
Marth,179.0,Watermelons
Marth,189.0,DiscipleOfBorp
Marth,189.0,Vitro
Marth,210.0,Ahung
Marth,210.0,RB | V$
Marth,217.0,BABA | Babo
Marth,217.0,LUNK#783 | dom
Marth,217.0,3OutChange
Marth,217.0,N8V
Marth,217.0,KLAWHAU5
Sheik,11.0,Ben
Sheik,16.0,RG | Far!
Sheik,19.0,Fizz
Sheik,35.0,Pipe
Sheik,40.0,Spiral Cafe | Krudo
Sheik,41.0,Hulka
Sheik,72.0,GEM | CrossFitJesus
Sheik,90.0,LanTurN
Sheik,119.0,ScrubUp
Sheik,123.0,Talen
Sheik,128.0,Zeph
Sheik,128.0,BABA | shama
Sheik,168.0,TT | Dair
Sheik,168.0,Fraud
Sheik,189.0,100 Days Of Solitude
Sheik,196.0,GS | TreyTheTrashman
Sheik,217.0,ASAPferq
Sheik,234.0,LoneCubone
Sheik,234.0,Rose
Sheik,234.0,lemon
Sheik,234.0,Just Jason
ICs,53.0,Trail
ICs,234.0,Daddy Icey
Falcon,1.0,S2J
Falcon,7.0,Revenge | Gahtzu
Falcon,9.0,JCubez
Falcon,23.0,Android 0
Falcon,45.0,404 YC | Salt
Falcon,46.0,GHQ | Zamu
Falcon,51.0,snacklepackle
Falcon,52.0,ight
Falcon,55.0,TG NBR | Panos
Falcon,60.0,Captain G
Falcon,75.0,306 | Polo
Falcon,100.0,Rive
Falcon,119.0,Douglas.J.Gov
Falcon,123.0,Silkylaroux
Falcon,128.0,W8ASec
Falcon,144.0,FISA | JoJo
Falcon,151.0,Bobakanoosh
Falcon,156.0,420 | Yolk
Falcon,179.0,Kettering
Falcon,189.0,radvillainy
Falcon,189.0,sucordie
Falcon,196.0,saacdaddy
Falcon,210.0,glum oinkin'
Falcon,217.0,Schweppes
Falcon,234.0,Raffshot
Falcon,234.0,Sax
Falcon,234.0,Frost | JJK
Puff,13.0,DD
Puff,47.0,SDJ
Puff,48.0,Golden
Puff,73.0,Crispy | Chango
Puff,110.0,SLO | GrizzlyBair
Puff,119.0,Dawson
Puff,137.0,Divine Senator Kelly
Puff,156.0,Theftz
Puff,196.0,CVSmashMods | Ripn
Puff,234.0,$W@6 | rocketf20
Fox,3.0,CLG. | SFAT
Fox,12.0,S.C.E. | Erik
Fox,14.0,306 | Amrak
Fox,15.0,ANTIFA CEO | Quiggles
Fox,18.0,Null
Fox,20.0,EP | Justus
Fox,22.0,Twisty
Fox,25.0,.Ðempt
Fox,27.0,Mango's Friend | Lucky
Fox,29.0,GUG | Kürv
Fox,30.0,FM | Cilan
Fox,41.0,Marrgasm
Fox,48.0,The Leaf
Fox,53.0,Megaman
Fox,57.0,Trock
Fox,59.0,Chem
Fox,64.0,DarkGenex
Fox,66.0,Cowbell
Fox,68.0,Panda
Fox,75.0,MIOM | Toph
Fox,75.0,ABG | salami
Fox,82.0,Musashi
Fox,90.0,WW | Lemonjuices
Fox,94.0,darkwizard123
Fox,100.0,SonOfJ
Fox,103.0,Jorge
Fox,110.0,Solo.
Fox,110.0,markrevival
Fox,110.0,Chubbz
